algorithm,objective,dims,wins,clicks_to_win,time_to_win_ms,guesses_to_win,time_per_click_on_win_ms,completion_on_win
exact_solver,MaxInformation,2x2x2,22,4.7727272727272725,1.4090909090909092,2.1363636363636362,0.24583333333333332,100.0
exact_solver,MinDistance,2x2x2,14,4.0,0.7857142857142857,1.4285714285714286,0.16428571428571428,100.0
exact_solver,MinRotation,2x2x2,11,3.5454545454545454,0.8181818181818182,1.1818181818181819,0.1696969696969697,100.0
global_sat,MaxInformation,2x2x2,20,4.5,1.0,1.1,0.14720238095238095,100.0
global_sat,MinDistance,2x2x2,20,4.25,0.85,1.1,0.1400595238095238,100.0
global_sat,MinRotation,2x2x2,20,4.35,0.8,1.1,0.12833333333333333,100.0
greedy,MaxInformation,2x2x2,5,2.0,0.0,2.0,0.0,100.0
greedy,MinDistance,2x2x2,5,2.0,0.0,2.0,0.0,100.0
greedy,MinRotation,2x2x2,5,2.0,0.0,2.0,0.0,100.0
partitioned_sat,MaxInformation,2x2x2,20,4.5,1.5,1.1,0.2353968253968254,100.0
partitioned_sat,MinDistance,2x2x2,20,4.3,1.15,1.1,0.19970238095238094,100.0
partitioned_sat,MinRotation,2x2x2,20,4.5,1.25,1.1,0.19029761904761905,100.0
scip_solver,MaxInformation,2x2x2,28,4.642857142857143,160.96428571428572,1.3928571428571428,30.138463718820862,100.0
scip_solver,MinDistance,2x2x2,22,4.181818181818182,134.5,1.1818181818181819,27.8,100.0
scip_solver,MinRotation,2x2x2,21,4.428571428571429,152.66666666666666,1.1428571428571428,28.751190476190477,100.0
exact_solver,MaxInformation,3x3x3,16,8.9375,17.375,1.625,1.7493894993894994,100.0
exact_solver,MinDistance,3x3x3,11,11.636363636363637,28.818181818181817,1.5454545454545454,2.5299011817059944,100.0
exact_solver,MinRotation,3x3x3,9,12.777777777777779,25.0,1.2222222222222223,1.8674522373051785,100.0
global_sat,MaxInformation,3x3x3,30,12.966666666666667,42.3,1.0333333333333334,2.978907643410268,100.0
global_sat,MinDistance,3x3x3,30,12.633333333333333,32.7,1.0333333333333334,2.4108968713032177,100.0
global_sat,MinRotation,3x3x3,30,12.7,28.466666666666665,1.0333333333333334,2.131446117521969,100.0
greedy,MaxInformation,3x3x3,1,1.0,0.0,1.0,0.0,100.0
partitioned_sat,MaxInformation,3x3x3,30,13.1,41.8,1.0333333333333334,2.91468019999922,100.0
partitioned_sat,MinDistance,3x3x3,30,12.7,30.266666666666666,1.0333333333333334,2.2028400546821603,100.0
partitioned_sat,MinRotation,3x3x3,30,12.666666666666666,26.933333333333334,1.0333333333333334,2.0417508438986767,100.0
scip_solver,MaxInformation,3x3x3,30,11.133333333333333,1088.1333333333334,1.0,86.32084052414162,100.0
scip_solver,MinDistance,3x3x3,29,12.586206896551724,1188.7931034482758,1.0,91.29468881844109,100.0
scip_solver,MinRotation,3x3x3,30,12.666666666666666,1172.9,1.0333333333333334,90.44807466770702,100.0
exact_solver,MaxInformation,4x4x4,4,27.25,173.75,5.25,6.255015708928752,100.0
exact_solver,MinDistance,4x4x4,3,19.0,98.0,2.0,5.107638888888889,100.0
exact_solver,MinRotation,4x4x4,1,16.0,82.0,1.0,5.125,100.0
global_sat,MaxInformation,4x4x4,28,27.607142857142858,447.0,1.1071428571428572,15.320122653625747,100.0
global_sat,MinDistance,4x4x4,28,27.071428571428573,336.0,1.1071428571428572,11.643856661076802,100.0
global_sat,MinRotation,4x4x4,28,25.535714285714285,255.85714285714286,1.1071428571428572,9.767827511529408,100.0
partitioned_sat,MaxInformation,4x4x4,28,28.071428571428573,421.10714285714283,1.1071428571428572,13.852268207463954,100.0
partitioned_sat,MinDistance,4x4x4,28,26.785714285714285,274.0357142857143,1.1071428571428572,9.655692683635198,100.0
partitioned_sat,MinRotation,4x4x4,28,25.75,193.07142857142858,1.1071428571428572,7.181777002816031,100.0
scip_solver,MaxInformation,4x4x4,29,26.20689655172414,4566.827586206897,1.0,169.70217831972718,100.0
scip_solver,MinDistance,4x4x4,27,25.62962962962963,4185.444444444444,1.1111111111111112,158.6668179414868,100.0
scip_solver,MinRotation,4x4x4,27,24.962962962962962,3872.296296296296,1.0740740740740742,152.74535085570946,100.0
global_sat,MaxInformation,5x5x5,22,47.22727272727273,3005.7272727272725,1.0454545454545454,60.55804918921099,100.0
global_sat,MinDistance,5x5x5,22,46.0,1861.8181818181818,1.0454545454545454,39.062755130193175,100.0
global_sat,MinRotation,5x5x5,22,44.09090909090909,1438.090909090909,1.0454545454545454,31.29113067962027,100.0
partitioned_sat,MaxInformation,5x5x5,22,47.09090909090909,2519.409090909091,1.0454545454545454,50.142219440728326,100.0
partitioned_sat,MinDistance,5x5x5,22,45.68181818181818,1399.2727272727273,1.0454545454545454,28.667882668876224,100.0
partitioned_sat,MinRotation,5x5x5,22,44.72727272727273,969.9090909090909,1.0454545454545454,20.257133611157464,100.0
scip_solver,MaxInformation,5x5x5,28,48.535714285714285,14871.82142857143,1.1785714285714286,300.6518948402941,100.0
scip_solver,MinDistance,5x5x5,25,44.8,12022.52,1.16,262.7864970815631,100.0
scip_solver,MinRotation,5x5x5,23,45.69565217391305,11270.695652173914,1.0869565217391304,243.59349394275876,100.0
global_sat,MaxInformation,6x6x6,24,65.375,11334.458333333334,1.0416666666666667,167.95996476541987,100.0
global_sat,MinDistance,6x6x6,24,62.0,6304.208333333333,1.0416666666666667,99.814124800339,100.0
global_sat,MinRotation,6x6x6,24,61.583333333333336,4747.958333333333,1.0416666666666667,77.26695449922624,100.0
partitioned_sat,MaxInformation,6x6x6,24,65.45833333333333,10213.666666666666,1.0416666666666667,147.24527778145261,100.0
partitioned_sat,MinDistance,6x6x6,24,61.5,4589.166666666667,1.0416666666666667,69.80068480211024,100.0
partitioned_sat,MinRotation,6x6x6,24,62.583333333333336,3073.2083333333335,1.0416666666666667,48.92562676934856,100.0
scip_solver,MaxInformation,6x6x6,29,65.75862068965517,28990.137931034482,1.0689655172413792,435.4166744016812,100.0
scip_solver,MinDistance,6x6x6,25,62.84,23927.24,1.12,378.94605266217275,100.0
scip_solver,MinRotation,6x6x6,26,61.42307692307692,21860.346153846152,1.1538461538461537,356.2394290716015,100.0
global_sat,MaxInformation,7x7x7,27,95.96296296296296,45680.22222222222,1.0740740740740742,465.9831463234629,100.0
global_sat,MinDistance,7x7x7,27,91.44444444444444,28395.296296296296,1.0740740740740742,304.93288022854824,100.0
global_sat,MinRotation,7x7x7,27,89.62962962962963,18693.51851851852,1.0740740740740742,207.91439805769843,100.0
partitioned_sat,MaxInformation,7x7x7,27,96.29629629629629,41682.59259259259,1.0740740740740742,424.93725777385794,100.0
partitioned_sat,MinDistance,7x7x7,27,93.11111111111111,22087.85185185185,1.0740740740740742,234.92960993777362,100.0
partitioned_sat,MinRotation,7x7x7,27,91.88888888888889,12867.074074074075,1.0740740740740742,139.56659184405066,100.0
scip_solver,MaxInformation,7x7x7,27,96.70370370370371,69538.96296296296,1.0740740740740742,714.2962119378246,100.0
scip_solver,MinDistance,7x7x7,26,92.96153846153847,55401.46153846154,1.0384615384615385,593.976049071929,100.0
scip_solver,MinRotation,7x7x7,27,90.29629629629629,48806.22222222222,1.0740740740740742,538.8986092139841,100.0
global_sat,MaxInformation,8x8x8,28,125.25,162318.82142857142,1.0357142857142858,1278.3689075852249,100.0
global_sat,MinDistance,8x8x8,28,121.78571428571429,68089.71428571429,1.0357142857142858,553.4968969561684,100.0
global_sat,MinRotation,8x8x8,28,123.46428571428571,44689.82142857143,1.0357142857142858,363.64459465007167,100.0
partitioned_sat,MaxInformation,8x8x8,28,125.28571428571429,121090.07142857143,1.0357142857142858,956.245161478493,100.0
partitioned_sat,MinDistance,8x8x8,28,121.67857142857143,54854.96428571428,1.0357142857142858,447.3692629693889,100.0
partitioned_sat,MinRotation,8x8x8,28,124.17857142857143,28872.214285714286,1.0357142857142858,234.40886988800227,100.0
scip_solver,MaxInformation,8x8x8,29,123.58620689655173,129129.03448275862,1.0689655172413792,1036.2465408110743,100.0
scip_solver,MinDistance,8x8x8,28,122.14285714285714,98631.32142857143,1.0357142857142858,806.2390146009258,100.0
scip_solver,MinRotation,8x8x8,28,122.25,88466.89285714286,1.0357142857142858,723.2327100097582,100.0
