algorithm,dims,success_range,time_per_click_range,completion_per_click_range,guess_rate_range
exact_solver,2x2x2,0.36666666666666664,0.08194444444444444,1.435185185185187,0.029444444444444384
global_sat,2x2x2,0.0,0.03742063492063494,0.4444444444444464,0.0044444444444444176
greedy,2x2x2,0.0,0.0,0.1055555555555614,0.0
partitioned_sat,2x2x2,0.0,0.08839947089947092,0.4761904761904745,0.004761904761904745
scip_solver,2x2x2,0.2333333333333334,1.5352116402116387,0.643518518518519,0.04666666666666669
exact_solver,3x3x3,0.23333333333333334,0.279440825199339,5.5598404451213295,0.03389718125012248
global_sat,3x3x3,0.0,0.8474615258882991,0.16220684984986988,0.0012054018318320286
greedy,3x3x3,0.03333333333333333,0.03041125541125541,5.0565663299663335,0.0
partitioned_sat,3x3x3,0.0,0.8729293561005433,0.17428137663027776,0.0023189793236232936
scip_solver,3x3x3,0.033333333333333326,4.564025333684768,5.572928290033554,0.054062616233668856
exact_solver,4x4x4,0.1,1.8150216626025104,0.5419839263883093,0.011813290330317028
global_sat,4x4x4,0.0,5.225197688178806,0.3807853164843742,0.0038742049417218385
greedy,4x4x4,0.0,0.05881276082716384,1.5927387827709012,0.0
partitioned_sat,4x4x4,0.0,6.289217716930655,0.27792104234757176,0.003457487092804218
scip_solver,4x4x4,0.06666666666666665,16.268740919323278,0.29868037640005074,0.02995599514386664
exact_solver,5x5x5,0.0,3.617358984796202,0.41609165610056476,0.13206444537210438
global_sat,5x5x5,0.0,24.080131703213368,0.11672617605198221,0.001329639434844876
greedy,5x5x5,0.0,0.15998639645378776,1.5303958401121474,0.0
partitioned_sat,5x5x5,0.0,24.45033412391705,0.10185955887140352,0.0012747448944205875
scip_solver,5x5x5,0.16666666666666663,86.1596731614928,0.28525317977298625,0.1586940379099624
exact_solver,6x6x6,0.0,10.80650624257336,0.2737550160033977,0.14429012191195573
global_sat,6x6x6,0.0,76.67224233483705,0.09147626662605046,0.0010697700968006901
greedy,6x6x6,0.0,0.2284030987285256,0.5472921722216215,0.0
partitioned_sat,6x6x6,0.0,83.99330388765952,0.07392931475399256,0.0007191606863868188
scip_solver,6x6x6,0.1333333333333333,83.34475922623716,0.19862064607618568,0.05114930693034059
exact_solver,7x7x7,0.0,3.793788010613987,0.3557754403808646,0.03348759861977804
global_sat,7x7x7,0.0,232.85610143341603,0.07824669121371386,0.0023321212523298926
greedy,7x7x7,0.0,0.5207584688619169,0.6435913804426745,0.0
partitioned_sat,7x7x7,0.0,257.49574219396936,0.049622530360589945,0.0009420152290172124
scip_solver,7x7x7,0.033333333333333326,167.5976043562186,0.10004475808539914,0.01348854247510723
exact_solver,8x8x8,0.0,21.562077244134606,0.23964017288467154,0.02083791648621977
global_sat,8x8x8,0.0,870.9946464867592,0.024877346159556057,0.00028091206837151106
greedy,8x8x8,0.0,0.2926215954286131,2.4511997036258406,0.0
partitioned_sat,8x8x8,0.0,697.7151392076548,0.02190234430133231,0.00021446766519513105
scip_solver,8x8x8,0.033333333333333326,304.86231891612306,0.00434962789754656,0.007174246934152254
